name;second_name;lastname;birthdate;nationality;sex;platform
AnN;Joh$$nson;Rodrigue.?z;2020-01-02;US;f;face?book
MaRK;Garcia;S&mith;1999.12.04;US;m;pinte%rest
NATALIE;;Pate$$l;1998-10-01;US;f;pinterest
Amy;;Ki#m;22.04.2004;UK;f;facebook
EVA;;Ki#m;;UK;f;
Amy;;Ki#m;22.04.2004;;f;
Sarah;Johnson;Brown;1990-03-20;AU;f;pinterest
Michael;Davis;Williams;1978-11-29;US;m;facebook
Emily;Lee;Garcia;2001-06-10;UK;f;pinterest
David;Clark;Wilson;1995-09-12;US;m;facebo??ok
Sophia;Taylor;Martinez;1989-02-25;CA;f;pinterest
William;Moore;Hernandez;1973-08-05;US;m;facebook
Olivia;Miller;Lopez;1980-04-17;AU;f;pinterest
Daniel;White;Gonzalez;1992-12-08;UK;m;pinterest
Ava;Wilson;Perez;2005-03-30;US;f;facebook
James;Brown;Campbell;1970-01-01;CA;m;pinterest
Mia;Anderson;Sanchez;1997-05-14;AU;f;facebook
Alexander;Harris;Young;1982-10-18;US;m;pinterest
Charlotte;Martin;Torres;2000-11-23;UK;f;pinterest
Benjamin;Garcia;Flores;1976-06-28;CA;m;pinterest
Amelia;Allen;Gomez;1987-09-03;US;f;pintere$$st
Henry;King;Mitchell;1993-04-06;AU;m;facebook
Scarlett;Wright;Diaz;1979-12-19;UK;f;pinterest
Luke;Lopez;Rivera;1984-08-22;US;m;facebook
Lily;Young;Ward;2002-02-09;CA;f;pinterest
Christopher;Scott;Evans;1988-07-03;AU;m;facebook
Grace;Walker;Bell;1999-10-26;UK;f;pin&te#rest
Lucas;Parker;Carter;1974-05-18;US;m;pinterest
Zoe;Morris;Hayes;1996-08-07;AU;f;pinterest
;;;;;
;;;;;
;;;;;
;;;;;
